Sentence,Protein,UniProtId,Phenotype,HPOId,type,Label
"For instance, it has been shown that differential phosphorylation pattern of tyrosine residues on PROT upon PDGF stimulation induces switching from proliferation to migratory signaling in PHENO cell [38] and for both functions in human aortic smooth muscle cells [39].",PDGFR,P09619,glioblastoma,HP:0100843,ft,Good-CoM
"The experiments performed here using human PHENO cells have demonstrated that our therapeutic construct is able to induce higher sensitivity to OATP1B1 antitumor substrates, which occurs specifically in colon cancer cells that overexpress PROT.",MRP2,Q92887,colon cancer,HP:0003003,ft,Good-CoM
PROT (CP) levels were also found increased in patients with PHENO and albuminuria.,Ceruloplasmin,P00450,hypertension,HP:0000822,ft,Good-CoM
"Vice versa, the PROT-generated oxidation appears to be deteriorated with the severity of PHENO in NAFLD patients, thereby results in the mitochondrial oxidative stress [58, 59].",NOX2,P04839,hepatic steatosis,HP:0001397,ft,Good-CoM
We utilized two well-established murine models of human AML induced by MLL-AF9 and AML1-ETO9a to determine the role of PROT in leukemia development and discovered that Necdin controls PHENO-initiating cell quiescence and chemotherapy response in a context-dependent manner.,Necdin,Q99608,leukemia,HP:0001909,ft,Good-CoM
"Mutations in ATM, Mre11 and PROT are found in patients with PHENO Telangiectasia (A-T), Ataxia Telangiectasia-like disorder (A-TLD) and Nijmegen breakage syndrome (NBS), respectively [33].",NBS1,O60934,Ataxia,HP:0001251,ft,Good-CoM
"More interestingly, database search using the panel of seven genes (MUC1, PLAU, FABP7, PROT, HAS2, HAS3, SOX4) downregulated by SAM revealed that these genes are highly expressed in basal B-type PHENO cell lines and higher expression of these genes significantly decreases the probability of distant metastasis-free survival in breast cancer patients [42].",SPARC,P09486,breast cancer,HP:0003002,ft,Good-CoM
PROT resistance is also a characteristic in most patients with type 2 PHENO (T2DM) [2].,Insulin,P01308,diabetes mellitus,HP:0000819,ft,Good-CoM
"Mutations in IL17F, IL17R and PROT in patients with chronic PHENO, as well as neutralizing autoantibodies against IL-17 and IL-22 in patients with autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy, directly impair IL-17 and IL-22 immunity [47], [52] [54].",DECTIN1,Q9BXN2,mucocutaneous candidiasis,HP:0002728,ft,Good-CoM
"Whereas TNFR1 expression in the glomerular compartment was generally similar among the three groups, the PROT expression in the tubular compartment was dominant in the patients with high cTNFR1 level compared with those with subnephrotic PHENO (P = 0.005).",TNFR1,P19438,proteinuria,HP:0000093,ft,Good-CoM
"The number of circulating PROT+CD34+CD133+ progenitors in COPD patients was not related to the disease severity, as there were no differences among patients with moderate, severe and very severe PHENO according to the spirometric GOLD stage (Figure 2A).",CD45,P08575,COPD,HP:0006510,ft,Bad-CoM
"Another study reported that serum analysis of PDAC also showed elevated levels of SCF in pretreated patients with PHENO [24], thereby suggesting that PROT could also be used as a diagnostic marker for pancreatic cancer.",SCF,P21583,pancreatic cancer,HP:0002894,ft,Good-CoM
"It was, therefore, hoped to use gene therapy to restore normal levels of PROT in the striatum of PD patients, and thereby obtain an improved response to levodopa, reduced response fluctuations, and reduced levodopa-induced PHENO [7].",AADC,P20711,dyskinesias,HP:0100660,ft,Good-CoM
"We examined the effect of 15d-PGJ2 on the viability, migration, invasion, and secretion of PTHrP in MDA-MB-231 metastatic human PHENO cells, PROT and OPG expression in hFOB1.19 osteoblastic cells, RANKL-induced osteoclastogenesis in mouse bone marrow macrophages, and bone resorption by mature osteoclasts.",RANKL,O14788,breast cancer,HP:0003002,ft,Bad-CoM
"The aim of this study was to evaluate potential associations between CSF biomarkers of degeneration (T-tau, P-tau, A 1 42, A 42/40 and A 40/38 ratios, sAPP  and sAPP , and PROT) and cognitive function in patients with PHENO.",NFL,P07196,bipolar disorder,HP:0007302,ft,Bad-CoM
"Furthermore, we observed that a small set of NCS variants were highly enriched for regulatory markers associated with diseases or phenotypes in GWAS and were positive for a signature of selection for NCS regions in worldwide human population, as shown in S22 Fig Examples of these are: an intronic variant rs4763879 of CD69 gene associated with Type I diabetes in Asian and European populations [58], an intronic variant rs2618476 of BLK gene associated with PHENO (SLE) in Asian populations [59], APOE associated with Alzheimer's disease (AD) in African populations [60], PROT associated with insulin-related traits [61], IBD5 associated with Crohn's disease [62], RAF1 associated with cardiac hypertrophy [63], and DNAH10 associated with visceral adipose tissue adjusted for body mass index in Asian populations [64].",SC4MOL,Q15800,Systemic lupus erythematosus,HP:0002725,ft,Bad-CoM
"In order to identify the intracellular mechanisms by which PROT might promote melanoma aggressiveness, we used established human melanoma cells where the knock down of SPARC expression was attained expressing either antisense RNA in human PHENO cells.",SPARC,P09486,melanoma,HP:0002861,ft,Bad-CoM
"PROT/AF9, a fusion gene generated by the t(9;11) translocation [27] that is responsible for a subset of human acute monocytic PHENO, can transform hematopoietic progenitor cells (HPCs)[28].",MLL,Q03164,leukemia,HP:0001909,ft,Good-CoM
"Although Lower ALR, ADH and ALDH expression in human liver samples from patients with end-stage alcohol-induced liver disease indicate a correlation between PROT and ethanol-metabolizing enzymes, whether lower ALR is a consequence of PHENO or ALR anomaly/deficiency drives progression to the fibrogenic liver disease remains to be determined.",ALR,P55789,liver disease,HP:0001392,ft,Bad-CoM
"PBMCs from healthy controls (HC, white), and patients with psoriasis vulgaris (PsV, light grey) and psoriatic PHENO (PsA, dark grey) were cultured with or without PROT/M-CSF (RM), and in the presence or in the absence of 1,25(OH)2D3 (Vit D).",RANKL,O14788,arthritis,HP:0001369,ft,Bad-CoM
"In one approach, we used general markers of the mesenchymal phenotype and established a cut-off of the number of PROT- cells in blood from healthy donors; then we scored blood specimens of patients with PHENO, showing a greater number of putative sarcoma cells present in the patients compared to the healthy donors.",CD45,P08575,sarcoma,HP:0100242,ft,Bad-CoM
"In a study comparing RPV/FTC/PROT vs EFV/FTC/TDF, renal safety findings up to 96 weeks were similar across both regimens; 1 patient discontinued due to PHENO with RPV/FTC/TDF and 2 patients discontinued due to renal adverse events with EFV/FTC/TDF, (1 due to renal failure and 1 due to proteinuria and hypoproteinemia) [27].",TDF,Q05066,renal failure,HP:0000083,ft,Good-CoM
"In this case series we sought to investigate the extent to which a significant adverse event, acute PHENO, was related to treatment with PROT in three patients with sJIA.",IL1RA,P18510,hepatitis,HP:0012115,ft,Bad-CoM
"PROT, a member of the TNF family of molecules, is upregulated in T cells in the circulation of patients with a variety of PHENO with T cell mediated immunopathologies [30].",CD40L,P29965,autoimmune disorders,HP:0002960,ft,Good-CoM
"Osteoprotegerin (PROT) was initially discovered in 1997 as a key regulator in bone metabolism [1] and has meanwhile been implicated in various human diseases including myocardial infarction, stroke, aortic PHENO, atrial fibrillation, aortic stenosis, chronic kidney disease, diabetes and its complications, and cancer [2 4].",OPG,O00300,aneurysm,HP:0002617,ft,Good-CoM
"Pathological changes in PROT, MAN, and PAA were improved in all MSC transplantation groups compared with those in the PHENO group, but the data were not statistically significant (Figure 2).",MLL,Q03164,COPD,HP:0006510,ft,Bad-CoM
IL 6 likely modifies DNA methylation via manipulation of PROT expression and cellular translocation; in vitro IL 6 stimulation of K562 (human erythromyeloblastoid PHENO) and A549 (human adenocarcinomic alveolar basal epithelial) cells increased DNMT1 expression via Janus kinase/Signal transducer and activator of transcription (JAK2/STAT3) activation (Hodge et al.,DNMT,P26358,leukemia,HP:0001909,ft,Bad-CoM
"Thus, our study provides evidence that PROT is the critical protein involved in the pathogenesis of anemia of IBD patients and may serve as a potential therapeutic target in the treatment of PHENO in IBD.",DMT1,Q9Y5R6,anemia,HP:0001903,ft,Good-CoM
"To this end, we used as recipient cells healthy fibroblasts, fibroblasts taken from a patient with a mutation in the gene PROT, which encodes the NDUFAF4 protein, an assembly factor of complex I of the respiratory chain, and G229C/Y35X cells, fibroblasts taken from a patient, with the G229C/Y35X mutation which manifests neonatal period with recurrent liver failure and severe PHENO from early infancy23.",C6orf66,Q9P032,neurodegenerative disease,HP:0002180,ft,Bad-CoM
"To assay mRNA levels of PROT and HSL, subcutaneous adipose tissues of 4 AIS patients and 2 controls (one from a 17 year-old female patient with a diagnosis of PHENO and the other from a 16 year-old female patient with gluteus contracture) were collected intra-operatively.",ATGL,Q96AD5,genu valgum,HP:0002857,ft,Bad-CoM
Two unrelated Indian patients showing combined ovalocytic PHENO and complete dRTA with homozygous A858D mutations of exon 19 of the PROT/SLC4A1 gene were reported20.,AE1,P02730,hemolytic anemia,HP:0001878,ft,Bad-CoM
"Elevated ratio of PROT to HDLC occurred in patients with PHENO due to a significant increase in LDLC levels and a slight decrease in HDLC levels, indicating increased risk of cardiovascular disease.",LDLC,Q14746,hypothyroidism,HP:0000821,ft,Good-CoM
"To investigate possible link between PROT expression and PHENO progression, an in silico analysis of DDX3 transcript level grouped according to tumor grade was performed with a published HCC clinical microarray dataset in the public database Oncomine39, and 44 tissues derived from 31 patients were included in the present study.",DDX3,O00571,liver cancer,HP:0002896,ft,Bad-CoM
"To date, six genetic loci have been mapped on human X-chromosome (see the Retinal Information Network [RetNet] at https://sph.uth.edu/retnet/ and the Human Gene Mutation Database [HGMD] at http://www.hgmd.cf.ac.uk) but, according to the linkage analyses, RP-associated mutations are recognized in two main genes: retinitis pigmentosa GTPase regulator (RPGR or PROT; OMIM 312610) and PHENO 2 (RP2; OMIM 312600).",RP3,Q92834,retinitis pigmentosa,HP:0000510,ft,Bad-CoM
"Finally, to evaluate whether this regulatory program may be operational in the human heart, we explored the protein levels of Parkin and PROT in explanted hearts from unused control donor and from dilated PHENO patients.",CHOP,P35638,cardiomyopathy,HP:0001638,ft,Bad-CoM
"To investigate whether PROT is associated with virus infection, we used vesicular PHENO virus (VSV) as the model virus8 and examined C11orf83 expression in human cells (HEK293, HUVEC and HepG2) at different time points after VSV infection.",C11orf83,Q6UW78,stomatitis,HP:0010280,ft,Bad-CoM
"Nonetheless, we cannot exclude that PROT and CD73 expression are influenced by immunosuppressive medication as has been demonstrated for methotrexate in the treatment of rheumatoid arthritis patients or azathioprine in PHENO patients.",CD39,P49961,inflammatory bowel disease,HP:0002037,ft,Good-CoM
"PROT inhibition could partially reactivate expression of silenced AT2 marker genes, whereas decrease expression of bronchial marker genes, altering cell differentiation state in A549 cells, a mechanism similar to the observed pro-differentiation effect in SCLC and PHENO upon loss of LSD1.",LSD1,O60341,leukemia,HP:0001909,ft,Good-CoM
"Mutations in the PROT/SBF2 gene, which encodes a catalytically inactive member of the myotubularin family involved in heterodimerization with MTMR2, cause CMT4B2 (OMIM 604563), which has similar pathological features to CMT4B1, with additional PHENO in some patients (80,81).",MTMR13,Q86WG5,glaucoma,HP:0000501,ft,Good-CoM
We have previously demonstrated increased ATF4 and PROT levels in the glaucomatous TM tissues from POAG patients and in anterior segment tissues of mouse models of myocilin or GC-induced PHENO.,CHOP,P35638,glaucoma,HP:0000501,ft,Good-CoM
"In addition, a mutation in the human PROT/KCNJ5 gene underlies a congenital form of Long QT Syndrome (LQTS13), a ventricular repolarization disorder associated with PHENO, syncope, and sudden death.",GIRK4,P48544,arrhythmia,HP:0011675,ft,Good-CoM
"PROT resistance is the most constant pathogenic factor in patients with a PHENO by fat storage [106,107].",Insulin,P01308,liver disease,HP:0001392,ft,Good-CoM
"In contrast, other major proteins in the same family, such as osteopontin [40], tenascin C [41] or PROT [42], are strongly upregulated in human PHENO cells compared with normal melanocytes.",SPARC,P09486,melanoma,HP:0002861,ft,Good-CoM
"PROT mutations in man and mice cause severe developmental defects including diabetes, PHENO and skeletal dysplasia (Zhang et al.",PERK,Q9NZJ5,growth retardation,HP:0001510,ft,Good-CoM
"PROT deficiency is in most cases the direct cause of narcoleptic episodes in humans (DREMs, direct onsets of REMs from wake or SOREMs, sleep onsets REMs) and cataplexy [134], whereas decreased histaminergic transmission likely accounts for the somnolence and PHENO seen in this disease and other sleep disorders [103, 126, 135, 136].",Orexin,O43612,excessive daytime sleepiness,HP:0002189,ft,Bad-CoM
"For example, nudA was shown to encode the heavy chain of cytoplasmic dynein whereas NudF, the homolog of human PROT involved in PHENO, is a dynein regulatory factor (see below).",LIS1,P43034,lissencephaly,HP:0001339,ft,Good-CoM
"Mutations in the mTOR pathway component genes TSC1, TSC2, PROT, PTEN, VHL, NF1, and PKD1 trigger the development of the human genetic syndromes: tuberous sclerosis, the Peutz-Jeghers syndrome, the Cowden syndrome, the Bannayan-Riley-Ruvalcaba syndrome, the Lhermitte-Duclos disease, the Proteus syndrome, the von Hippel-Lindau disease, neurofibromatosis type 1, and polycystic PHENO.",LKB1,Q15831,kidney disease,HP:0000077,ft,Good-CoM
"Interestingly, in gliomas, high TGF-  signaling confers poor prognosis in patients and promotes PHENO cell proliferation by activating PDGFB/PROT signaling[23], suggesting an evolutionarily conserved mechanism of regulating PDGF signaling in different types of human cancers.",PDGFR,P09619,glioma,HP:0009733,ft,Good-CoM
Imatinib and sunitinib bind KIT and PROT in different ways so it is possible to obtain tumor response with sunitinib in patients with imatinib-resistant PHENO.,PDGFR,P09619,GIST,HP:0100723,ft,Good-CoM
"Interestingly, case 15 had two distinct leukemia clones with different PROT expression: the major and minor PHENO populations were CD45  and CD45+, respectively, and this patient attained CR after induction chemotherapy.",CD45,P08575,leukemia,HP:0001909,ft,Good-CoM
"The reasons of exclusion were: received supportive care only because of poor performance status (n = 6), central nervous system involvement of DLBCL (n = 6), lack of information on bilateral BM biopsy results (n = 5), transfer to another hospital after diagnosis (n = 2), received immunochemotherapy other than R-CHOP (n = 1; R-PROT plus etoposide), and had PHENO considered as non-lymphomatous cause (n = 4; two pre-menopausal female patients had IDA with definitive history of menorrhagia, one patient had preceding pancytopenia which was thought to be originated from her underlying rheumatologic disorder, and one patient with Ann Arbor stage II DLBCL had both anemia and thrombocytopenia with a BM cellularity of <25%, suggestive of non-severe aplastic anemia).",CHOP,P35638,anemia,HP:0001903,ft,Bad-CoM
"Our study demonstrated that HLCs express phase I (CYP2B6, CYP2D6, CYP2C9 CYP2C19, CYP1A2 and CYP2E1), phase II drug-metabolizing enzyme (OATP2) and phase III drug transporters (PROT) at levels comparable to those of primary human hepatocytes, but higher than HepaRG, the PHENO cell line frequently used in pharmaceutical industry.",MRP2,Q92887,hepatocellular carcinoma,HP:0001402,ft,Bad-CoM
"By extension, the presence of serum LGI1 or PROT-antibodies in unselected patients with PHENO of unknown aetiology may be sufficient evidence to prompt ITs, and in two studies this approach was employed with some benefits [79], [80].",CASPR2,Q9UHC6,epilepsy,HP:0001250,ft,Good-CoM
PHENO with PROT inhibitors was also documented in patients who were taking a combination of oral antidiabetic drugs and insulin (P < 0.001).,SGLT2,P31639,Weight loss,HP:0001824,ft,Good-CoM
PROT-treated patients with hypoglycemia unawareness or an episode of clinically significant hypoglycemia should be advised to raise their glycemic targets to strictly avoid PHENO for at least several weeks to partially reverse hypoglycemia unawareness and reduce the risk of future episodes.,Insulin,P01308,hypoglycemia,HP:0001943,ft,Good-CoM
"Moreover, further work is required to examine levels of PEDF in unmedicated depressed patients, both at baseline compared with the controls and pre-/post-antidepressant treatment, to gain better insight into the changes that occur in PROT in PHENO and the therapeutic response.",PEDF,P36955,depression,HP:0000716,ft,Good-CoM
"In contrast, when PROT is introduced in G361 PHENO cells (Figure S1I), we observed a 6-fold induction of MITF expression with SIK-inhibitor treatment (Figure S1K), demonstrating the dependence of SIK-inhibitor effect on active SIK.",LKB1,Q15831,melanoma,HP:0002861,ft,Good-CoM
"Overexpression of PROT has been reported in many human cancers, including ER-negative breast cancer, prostate cancer, nonsmall cell lung cancer, and bladder cancer, as well as neuroblastoma and some subtypes of PHENO (AML).",LSD1,O60341,acute myeloid leukemia,HP:0004808,ft,Good-CoM
"Dapagliflozin, a highly selective inhibitor of PROT, has demonstrated efficacy, alone or in combination with metformin, in reducing PHENO in patients with type 2 diabetes (18,19) but has not been tested in patients requiring insulin.",SGLT2,P31639,hyperglycemia,HP:0003074,ft,Good-CoM
"Although there is an ongoing debate on the advantages and disadvantages of blocking ETB receptors in patients, there does not appear to be a major difference in clinical efficacy in treating patients with pulmonary arterial PHENO between selective ETA receptor antagonists and dual PROT and ETB receptor antagonists [20, 21].",ETA,P25101,hypertension,HP:0000822,ft,Good-CoM
"Although EWS-FLI1-associated leukemia is not observed in humans, a closely related fusion of PROT-ERG is associated with acute myeloid PHENO (Ichikawa et al., 1994).",TLS,P35637,leukemia,HP:0001909,ft,Good-CoM
"Based on the development of immune therapies usingHSP60 for other human inflammatory diseases and encouraged by recent data showing that PROT expression is increased in the skin in patients with atopic PHENO, it is tempting to suggest that HSP60 may also be a potential candidate for bystander therapy in allergic diseases.",HSP60,P10809,dermatitis,HP:0011123,ft,Good-CoM
"PROT-treated patients with PHENO unawareness or an episode of severe hypoglycemia should be advised to raise their glycemic targets to strictly avoid further hypoglycemia for at least several weeks, to partially reverse hypoglycemia unawareness, and to reduce risk of future episodes.",Insulin,P01308,hypoglycemia,HP:0001943,ft,Good-CoM
"Thus, the regulation of PROT by molecular or pharmacological means could have the potential to prevent/retard the development and progression of PHENO by regulating MMP-9 mediated mitochondrial damage and accelerated capillary cell apoptosis in diabetic patients.",LSD1,O60341,retinopathy,HP:0000488,ft,Bad-CoM
"Moreover, our finding confirmed that predicted probability value of PROT was increased with the raising of Child-Pugh scores in HBV-related PHENO patients.",MLP,P50461,liver cirrhosis,HP:0001394,ft,Good-CoM
"For example, Ubr2 expression is reported to activate the proinflammatory cytokine tumor necrosis factor-alpha (TNF- ), which is involved in the onset of PHENO; and, interestingly, TNF-  stimulation of TNF receptor 1 (PROT) has been shown to impair human ERG (HERG)/IKr current density (and prolong action potential duration) by stimulation of reactive oxygen species in canine cardiomyocytes.",TNFR1,P19438,cachexia,HP:0004326,ft,Bad-CoM
"Recent findings from the first cardiovascular safety trial in PROT inhibitors to be completed, the BI 10773 (Empagliflozin) Cardiovascular Outcome Event Trial in Type 2 PHENO Patients (EMPA-REG OUTCOME) trial demonstrated reduced cardiovascular outcomes in people with high cardiovascular risk (Table 1) who were treated with empagliflozin [16].",SGLT2,P31639,Diabetes Mellitus,HP:0000819,ft,Bad-CoM
"While PHENO and weight maintenance among people with type 2 diabetes is infrequent in everyday clinical practice, new classes of antihyperglycemic medications, such as PROT inhibitors, have been shown to cause weight loss in randomized controlled trials through their mechanism of action (i.e., patients experience a net caloric loss of approximately 400 kcal/day as a result of increased urinary glucose excretion) [28 30].",SGLT2,P31639,weight loss,HP:0001824,ft,Good-CoM
"While weight loss and weight maintenance among people with type 2 diabetes is infrequent in everyday clinical practice, new classes of antihyperglycemic medications, such as PROT inhibitors, have been shown to cause PHENO in randomized controlled trials through their mechanism of action (i.e., patients experience a net caloric loss of approximately 400 kcal/day as a result of increased urinary glucose excretion) [28 30].",SGLT2,P31639,weight loss,HP:0001824,ft,Good-CoM
"Overall, findings with canagliflozin and dapagliflozin demonstrate that PROT inhibitors may provide better achievement of both HbA1c and PHENO compared with sulfonylureas in patients with T2DM.",SGLT2,P31639,weight loss,HP:0001824,ft,Good-CoM
"PROT-AF9 has been found to be associated with both ALL and acute myeloid leukemia (AML), but MLL-AF9 PHENO manifests more often as ALL in infants, whereas almost always as AML in adults (Meyer et al., 2013).",MLL,Q03164,leukemia,HP:0001909,ft,Good-CoM
"It was on the basis of these concerns, and with a view to shedding further light on the expression of Reelin in human liver injury, that we investigated hepatic PROT expression in a large series of patients with HCV-related chronic PHENO, and verified its relationship with the other histological and immunohistochemical markers used to reflect activity and severity of liver disease.",Reelin,P78509,hepatitis,HP:0012115,ft,Good-CoM
"PROT expression increased by 2.42 fold more in obese ER+ compared with obese ER- breast cancer patients, while it increased by only one fold in overweight ER+ compared with overweight ER- PHENO patients (Fig.",Leptin,P41159,breast cancer,HP:0003002,ft,Good-CoM
"Reports of diabetic PHENO (DKA) in patients treated with PROT inhibitors have appeared for the three agents available in the United States (dapagliflozin, canagliflozin, and empagliflozin) [61-64], as well as others only available in Japan [65].",SGLT2,P31639,ketoacidosis,HP:0001993,ft,Good-CoM
"The use of sodium-glucose cotransporter 2 (PROT) inhibitors has recently led to a significant reduction in the risk of PHENO and mortality in patients with diabetes in multicenter, prospective, randomized controlled trials, and the frequency of use of these inhibitors is increasing in clinical settings [38394041].",SGLT2,P31639,cardiovascular disease,HP:0001626,ft,Good-CoM
As prostacyclin drugs are reserved for patients with severe pulmonary arterial PHENO in most cases they will be given in combination with either a phosphodiesterase type 5 (PDE5) inhibitor and/or an endothelin receptor antagonist (PROT).,ETRA,P25101,hypertension,HP:0000822,ft,Good-CoM
"PROT is the drug therapy for patients with PHENO (or type 1 diabetes),1 and it is an important hormone for the regulation of blood glucose level.",Insulin,P01308,insulin-dependent diabetes mellitus,HP:0100651,ft,Good-CoM
PROT should be administered slowly in patients with autonomic PHENO as it can cause hypotension by decreasing systemic vascular resistance.,Insulin,P01308,neuropathy,HP:0009830,ft,Good-CoM
It has been confirmed that PROT was expressed in the cardiomyocytes in human heart and increased in the acute PHENO in cardiomyocytes in patients 11-12.,NOX2,P04839,myocardial infarction,HP:0001658,ft,Good-CoM
Echiburu et al14 reported a significant association of C/T polymorphism in the promoter region of PROT gene in women with increased body weight and significant PHENO and recommended it as a major confounding factor in development of abdominal obesity and metabolic derangements in the PCOS patients.,CYP17,P05093,insulin resistance,HP:0000855,ft,Good-CoM
"In patients suffering from PCOS, PHENO has been reported to be linked to several variable factors like body weight, some hormones like adiponectin and atrial natriuretic peptide24 and genetic polymorphism of C/T at the promoter region of PROT gene14.",CYP17,P05093,insulin resistance,HP:0000855,ft,Good-CoM
"Patients receiving VR-CAP experienced higher rates of toxic effects than those receiving R-PROT, including increased frequencies of grade  3 PHENO (57% versus 6%), neutropenia (85% versus 67%), leukopenia (44% versus 29%), lymphocytopenia (28% versus 9%), and infections/infestations (21% versus 14%).",CHOP,P35638,thrombocytopenia,HP:0001873,ft,Bad-CoM
PROT is the best way to control PHENO in the inpatient setting especially in the critically ill patients.,Insulin,P01308,hyperglycemia,HP:0003074,ft,Good-CoM
"PROT also induces cell migration and the expression of growth factors in prostate cancer cells, suggesting that studies undertaken to ascertain leptin and/or PHENO association to prostate cancer should differentiate patients according to androgen resistance [19].",Leptin,P41159,obesity,HP:0001513,ft,Bad-CoM
"To determine protein expression in clinical PHENO samples, we stained a cohort of 120 DLBCL patients  samples for both PROT and MCT4 protein and categorized samples using an immunohistochemical H-score (Online Supplementary Figure S2).",MCT1,P53985,lymphoma,HP:0002665,ft,Bad-CoM
"PROT also controls a number of other physiological processes including cognitive processes, stress response and feeding, all of which are affected during PHENO in humans and disturbed in a number of depressive-like animal models.",Orexin,O43612,depression,HP:0000716,ft,Good-CoM
"Along this line, we already reported an increase in intracellular PROT in the epithelium and lamina propria of bronchial biopsies of severe PHENO patients compared to control smokers and non-smokers, suggesting a possible cytoprotective function for this chaperonin, in agreement with published reports showing that HSPs can protect cells from death caused by oxidative stress.",HSP60,P10809,COPD,HP:0006510,ft,Good-CoM
"Aside from the susceptibility to opportunistic and bacterial infections, PROT-deficient patients are also prone to develop autoimmune diseases such as thrombocytopenia, hemolytic anemia, and PHENO, suggesting that B cell tolerance is not properly established and/or maintained in these patients (1 3, 15).",CD40L,P29965,nephritis,HP:0000123,ft,Good-CoM
"Hemizygous mutations in DCX or heterozygous mutations in PROT lead to nearly identical neuronal migration defects in humans known as lissencephaly (Dobyns and Truwit, 1995; Dobyns et al., 1996; Lo Nigro et al., 1997), which is characterized by a smooth surface of the brain, four abnormal cortical layers, and a variably PHENO, associated with intractable epilepsy, hypotonia, and profound mental retardation from infancy.",LIS1,P43034,hypoplastic cerebellum,HP:0001321,ft,Good-CoM
"Using quantitative RT-PCR assays, CCL17/TARC, SNFT, MAL, and PROT/Fas were all found to be expressed as mRNA in primary HRS cells at levels comparable to those observed in the L428 Hodgkin PHENO cell line and the K1106 PMBL cell line.",TNFRSF6,P25445,lymphoma,HP:0002665,ft,Good-CoM
The increased numbers of hMCs in the bronchial mucosa of patients with newly diagnosed PHENO 62 may reflect the comitogenic actions of Th2 cytokines on this PROT-dependent lineage.,SCF,P21583,asthma,HP:0002099,ft,Good-CoM
Forced expression of PROT induces motility of normal human melanocytes and enhances invasion of PHENO cells (Robert et al.,SPARC,P09486,melanoma,HP:0002861,ft,Good-CoM
In order to quantitatively analyse these findings in more depth we performed quantitative real-time PCR to compared PEDF mRNA levels in the left ventricle of explanted hearts from heart failure patients suffering from ischemic (n= 8) or dilatative (n= 17) PHENO to levels of PROT mRNA in healthy human hearts (n= 4) unsuitable for heart transplantation.,PEDF,P36955,cardiomyopathy,HP:0001638,ft,Good-CoM
"The efficacy of tacrolimus in SLE patients with lupus PHENO was first reported in 4 pediatric patients who had persistent disease activity despite conventional immunosuppressive therapy including AZA, MMF, or PROT [12].",CYC,P99999,nephritis,HP:0000123,ft,Good-CoM
"In order to provide evidence for a direct involvement of Smad4 in the regulation of this promoter by TGF  and PROT signaling, we made use of human PHENO MDA-MB-468 cells, which lack the genomic locus of Smad4 and in which gene expression in response to TGF  or BMP strictly depends on reconstitution of wild-type Smad4 (19).",LKB1,Q15831,breast carcinoma,HP:0003002,ft,Bad-CoM
"Expression levels of HSP27 appear to be elevated in a wide spectrum of human cancers, and accordingly, HSP27 expression and correlation studies have been performed in a plethora of cancer entities other than PHENO [13], in summary suggesting that PROT could on the one hand represent a prognostic biomarker in specific cancer types and on the other hand even predict the individual patient's response to certain chemotherapeutics, while its applicability as a diagnostic marker appears to be rather limited.",HSP27,P04792,pancreatic cancer,HP:0002894,ft,Bad-CoM
"To test this hypothesis, some studies have examined serum samples from PHENO patients to look for autoantibodies and have found increased levels of heat shock protein 27 (PROT) and heat shock protein 60 (HSP60).",HSP27,P04792,glaucoma,HP:0000501,ft,Good-CoM
"The CD40-PROT axis has been implicated in the pathogenesis of several human diseases, including atherosclerosis [31], rheumatoid PHENO [12] and IBD [8].",CD40L,P29965,arthritis,HP:0001369,ft,Good-CoM
"PROT might potentially evoke PHENO, but this was rarely observed in any of the diabetic patients during the 15 min ITT in the present study.",Insulin,P01308,hypoglycemia,HP:0001943,ft,Bad-CoM
"PROT is encoded by the NPHS1 gene, and patients who harbour mutations in the NPHS1 gene develop heavy proteinuria before birth and rapidly progress to end stage PHENO, this is known as congenital nephrotic syndrome of the Finnish type (4, 5).",Nephrin,O60500,renal failure,HP:0000083,ft,Good-CoM
"Follicular PHENO is a low-grade B-cell malignancy, and patients at an advanced stage are usually treated with rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisolone (R-PROT) therapy [1, 2].",CHOP,P35638,lymphoma,HP:0002665,ft,Bad-CoM
"Accordingly, higher mRNA expression levels of matrix metalloproteinase/TIMP ratios for matrix metalloproteinase-1, -2 and -9, as well as PROT/osteoprotegerin ratio, have been reported in gingival tissue from chronic and aggressive PHENO patients compared with healthy gingival .",RANKL,O14788,periodontitis,HP:0000704,ft,Good-CoM
"The clinical impact of denosumab, a human monoclonal antibody to PROT, on bone metastases in patients with osteoporosis, PHENO, prostate cancer, and treatment-induced bone disease due to prostate cancer has recently been evaluated, and is discussed later in this review.",RANKL,O14788,breast cancer,HP:0003002,ft,Bad-CoM
"Alternatively, PROT deficiency may be associated with a primary choroidal abnormality, although this is unlikely based on two observations: (1) CHM carrier females with patchy PHENO due to X-inactivation do not show corresponding patchy choroidal abnormality, and (2) CHM patients occasionally present with secondary choroidal neovascularization, which suggests relatively intact choroidal angiogenesis.",REP1,P24386,retinal degeneration,HP:0000546,ft,Bad-CoM
"Accordingly, it is possible that PROT inhibitors may be useful for treating PHENO in patients with T2DM.",SGLT2,P31639,fatty liver,HP:0001397,ft,Good-CoM
Genotoxic stress induces p53 phosphorylation and PROT expression in D283Med and Daoy PHENO cell lines.,WIP1,O15297,medulloblastoma,HP:0002885,ft,Good-CoM
"In contrast, the Daoy PHENO cell line with trisomy 17 displayed an average of three copies of PROT (Fig.",WIP1,O15297,medulloblastoma,HP:0002885,ft,Good-CoM
